PlantID,date,altitude,east,north
J0012,2009-06-16,1138.56,-227.4531657958,-132.9917193921
J0156,2009-06-17,1307.24,424.7286388242,418.3825275851
J0422,2009-06-19,1301.16,588.4386777194,402.1568925744
J1246,2011-05-24,1136.35,184.7060397954,58.3174213665
J1251,2009-07-16,1132.94,211.8856450551,61.6450780593
J1378,2009-09-05,1173,553.6893769763,67.2359879445
J1509,2010-06-02,1144.37,-200.9315875949,-96.2935806811
J1523,2009-09-05,1146,554.0970694001,104.9883972611
K0133,2010-06-03,1146.34,-30.0816015913,-4.5843827529
K0141,2010-06-04,1133.87,565.8631777258,113.9265316688
K0162,2010-06-04,1176.6,1593.3116317409,-212.1790168136
K0183,2010-06-05,1251.97,1497.046831562,221.7392641427
K0187,2010-06-05,1249.46,1535.3875905707,184.8548307475
K0230,2010-06-06,1216.62,1777.4200132865,-165.6702405978
K0475,2010-06-15,1151.45,-225.0604584386,-105.1018149676
K0558,2010-06-15,1153.33,-43.3936102637,-10.1223627897
K0626,2010-06-16,1150.13,165.0890242707,50.0664597135
K0646,2010-06-16,1142.55,192.2000464385,61.3096220884
K0652,2010-06-16,1139.48,186.4834343851,60.5368934469
K0668,2010-06-17,1179.83,-963.7074260853,267.8542534215
K0856,2010-06-17,1189.46,-1204.2661236475,273.3280938938
K0863,2010-06-17,1133.45,469.0602768599,97.4826908931
K1026,2010-06-21,1301.95,561.6360518872,395.2432813626
K1048,2010-06-21,1288.98,753.1429734343,376.483965137
K1068,2010-06-22,1388.1,-224.9348866796,1285.1650851099
K1079,2010-06-22,1389.55,-229.6803468334,1266.4519916344
K1080,2010-06-22,1389.69,-230.7249714467,1266.8261939157
K1085,2010-06-21,1300.36,554.7559585564,394.6065333039
K1141,2010-06-23,1137.03,281.9905351115,83.7775865784
K1285,2010-06-24,1147.83,-164.0285293492,-76.5312179215
K1439,2010-06-25,1144.98,-48.578786983,-20.685493187
K1527,2010-06-26,1388.44,-222.4728447156,1264.8757063532
K1623,2010-06-26,1290.88,733.4609129999,375.3322035354
K1658,2010-06-26,1323.03,170.1718614406,493.8847484635
K1670,2010-06-26,1372.62,-59.7948788913,1052.0218822658
K1719,2010-07-20,1129.26,229.0111830328,68.4034759561
K1759,2010-07-21,1157.37,-257.2941323534,-128.6526493831
K1795,2010-07-21,1145.96,13.9353798461,7.389531889
K1809,2010-07-21,1141.65,149.790814013,38.7725451281
K1852,2010-07-21,1132.67,355.7650985198,95.9822028847
K1859,2010-07-22,1326.05,188.3064047269,552.463061478
K1881,2010-07-22,1301.33,542.948091641,393.052001778
K1895,2010-07-22,1307.2,408.8563240509,419.2136751013
K1918,2010-07-22,1296.64,646.5248079192,427.7585199121
K1954,2010-07-22,1292.97,685.3302407812,409.6871648505
K1987,2010-07-23,1282.32,902.9612022167,403.6468853047
K2035,2010-09-08,1133.9,372.7781825685,91.5896835653
K2063,2012-06-13,1139.46,234.8043622487,69.9761870783
L0009,2011-05-24,1141.15,122.1003469345,24.6956318729
L0021,2011-05-25,1151.6,-135.2338032006,-53.9957993207
L0039,2011-05-24,1140.02,121.5765576676,25.8260308383
L0055,2011-05-26,1131.23,469.1372682406,94.6645331904
L0056,2011-05-25,1148.5,-175.7824111569,-86.1954416139
L0057,2011-06-01,1133.75,329.037020214,97.4290076997
L0064,2011-05-25,1145.66,-151.29747327,-64.4176529534
L0078,2011-05-26,1134.21,389.1560858036,93.94311985
L0098,2011-05-25,1149.83,-194.7379651329,-93.6461834274
L0105,2011-05-25,1135.12,367.599619493,90.7220333219
L0128,2011-05-25,1139.47,552.6076414827,107.7659486746
L0143,2011-05-26,1139.79,236.2137661159,69.7315855017
L0146,2011-05-25,1132.97,550.0028109018,118.7593248161
L0150,2011-05-25,1133.04,550.2069839493,116.4367414508
L0159,2011-05-26,1143.08,35.9507605976,8.3311433
L0168,2011-05-26,1146.66,11.1659329591,8.0767332288
L0169,2011-06-01,1134.8,248.6788413286,82.0669532791
