ndads,rep,acc_all,acc_fs,acc_hs,nfamilies
500.0000,97.0000,0.5421,0.8000,0.4733,3.0000
100.0000,94.0000,0.2105,1.0000,0.0000,1.0000
100.0000,14.0000,1.0000,1.0000,1.0000,4.0000
2000.0000,88.0000,1.0000,1.0000,1.0000,4.0000
100.0000,58.0000,0.2105,1.0000,0.0000,1.0000
500.0000,73.0000,0.2105,1.0000,0.0000,1.0000
500.0000,35.0000,0.2105,1.0000,0.0000,1.0000
100.0000,36.0000,0.6368,0.9000,0.5667,3.0000
1000.0000,75.0000,0.8684,1.0000,0.8333,3.0000
500.0000,51.0000,0.2105,1.0000,0.0000,1.0000
1000.0000,92.0000,0.2105,1.0000,0.0000,1.0000
250.0000,34.0000,0.2105,1.0000,0.0000,1.0000
250.0000,20.0000,0.6158,0.7000,0.5933,3.0000
1000.0000,67.0000,0.2105,1.0000,0.0000,1.0000
500.0000,21.0000,0.6053,1.0000,0.5000,2.0000
250.0000,42.0000,0.2105,1.0000,0.0000,1.0000
250.0000,6.0000,0.6053,1.0000,0.5000,2.0000
1000.0000,2.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,17.0000,0.2105,1.0000,0.0000,1.0000
1000.0000,10.0000,0.6053,1.0000,0.5000,2.0000
1000.0000,86.0000,0.6053,1.0000,0.5000,2.0000
2000.0000,2.0000,0.2105,1.0000,0.0000,1.0000
100.0000,95.0000,0.2105,1.0000,0.0000,1.0000
250.0000,96.0000,0.2105,1.0000,0.0000,1.0000
100.0000,96.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,89.0000,0.2105,1.0000,0.0000,1.0000
250.0000,70.0000,0.2105,1.0000,0.0000,1.0000
500.0000,66.0000,0.2105,1.0000,0.0000,1.0000
100.0000,88.0000,0.2105,1.0000,0.0000,1.0000
100.0000,38.0000,0.2105,1.0000,0.0000,1.0000
500.0000,72.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,3.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,53.0000,0.2105,1.0000,0.0000,1.0000
250.0000,93.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,96.0000,1.0000,1.0000,1.0000,4.0000
2000.0000,84.0000,0.2105,1.0000,0.0000,1.0000
250.0000,13.0000,0.2105,1.0000,0.0000,1.0000
100.0000,92.0000,0.2105,1.0000,0.0000,1.0000
250.0000,83.0000,0.2105,1.0000,0.0000,1.0000
250.0000,54.0000,0.2105,1.0000,0.0000,1.0000
100.0000,78.0000,0.2105,1.0000,0.0000,1.0000
500.0000,43.0000,0.2105,1.0000,0.0000,1.0000
250.0000,0.0000,1.0000,1.0000,1.0000,4.0000
100.0000,44.0000,0.2105,1.0000,0.0000,1.0000
2000.0000,9.0000,0.2105,1.0000,0.0000,1.0000
100.0000,3.0000,0.2105,1.0000,0.0000,1.0000
500.0000,2.0000,0.2105,1.0000,0.0000,1.0000
1000.0000,16.0000,0.2105,1.0000,0.0000,1.0000
