rep,nloci,allele_freq,n_adults,n_sires,array_size,missing_loci,mu_real,mu_input,unsampled_real,unsampled_input,selfing_rate,time_paternity,time_cluster,partition_found,delta_loglik,nfamilies,acc_fs,acc_hs,acc_all,prob_sires,prob_absent
0.0,30.0,0.381,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.016,0.074,1.0,2.59,0.048,0.844,,0.844,-0.065,
1.0,30.0,0.374,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.014,0.066,1.0,0.0,0.663,0.966,,0.966,-0.006,
2.0,30.0,0.361,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.071,1.0,2.15,0.065,0.826,,0.826,-0.066,
3.0,30.0,0.358,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.058,1.0,0.0,0.55,0.952,,0.952,-0.01,
4.0,30.0,0.383,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.057,1.0,0.0,0.56,0.94,,0.94,-0.01,
5.0,30.0,0.372,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.058,1.0,0.0,0.662,0.963,,0.963,-0.006,
6.0,30.0,0.396,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.059,1.0,0.7,0.199,0.882,,0.882,-0.037,
7.0,30.0,0.385,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.065,1.0,0.0,0.484,0.919,,0.919,-0.015,
8.0,30.0,0.366,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.055,1.0,0.0,0.93,0.993,,0.993,-0.0,
9.0,30.0,0.385,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.059,1.0,0.0,0.601,0.954,,0.954,-0.008,
10.0,30.0,0.373,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.057,1.0,0.0,0.653,0.965,,0.965,-0.006,
11.0,30.0,0.379,100.0,1.0,20.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.011,0.055,1.0,0.0,0.795,0.979,,0.979,-0.002,
